file_name,delta_abs,delta,comparison,metric
47_2012-05-16_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-03-01_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-09_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-14_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-15_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-20_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-21_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-02-08_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-03-08_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-07_crr_6354.txt,0,0,curr - prev,len_02_dehyphen
49_2022-03-09_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-03-15_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-03-22_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-04-05_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-04-06_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-05-03_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-08_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-12-07_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2022-05-10_crr.txt,0,0,curr - prev,len_02_dehyphen
49_2021-10-13_crr.txt,0,0,curr - prev,len_02_dehyphen
