,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2012-08-08_crr_3672.txt,32969,32969,32969,32969,32969,32969,32968,32968,24329,24329,24329,24329,24130,24130,23742,23742,23057,23057,22806,22806,22806,22806,1,1,0.9891139350305764,0.9891139350305764,0.9839204309987568,0.9839204309987568,1.0,1.0
47_2012-08-14_crr.txt,1134882,1134882,1134846,1134846,1134846,1134846,1134361,1134361,871023,871023,871023,871023,866894,866894,866739,866739,858326,858326,783530,783530,783530,783530,5,5,0.9128582846144704,0.9128582846144704,0.9998212007465734,0.9998212007465734,0.9999682786404224,0.9999682786404224
47_2012-08-15_crr.txt,594963,594963,594963,594963,594963,594963,594811,594811,584724,584724,584724,584724,578155,578155,575736,575736,568380,568380,559396,559396,559396,559396,3,3,0.9841936732467716,0.9841936732467716,0.9958160008994128,0.9958160008994128,1.0,1.0
47_2012-08-16_crr.txt,718444,718444,718444,718444,716925,716925,716751,716751,81094,81094,81094,81094,81062,81062,81062,81062,81063,81063,77494,77494,77494,77494,1,1,0.955972515204224,0.955972515204224,1.0,1.0,0.9978857085590526,0.9978857085590526
47_2012-08-16_crr_3679.txt,31198,31198,31198,31198,29690,29690,29682,29682,29682,29682,29185,29185,25096,25096,24985,24985,24925,24925,23900,23900,23900,23900,1,1,0.958876629889669,0.958876629889669,0.9955769843799808,0.9955769843799808,0.9516635681774472,0.9516635681774472
47_2012-08-23_crr.txt,197271,197271,197271,197271,197271,197271,197210,197210,197210,197210,193911,193911,57454,57454,57434,57434,57202,57202,8699,8699,8699,8699,6,6,0.1520751022691514,0.1520751022691514,0.999651895429387,0.999651895429387,1.0,1.0
47_2012-09-04_crr.txt,159085,159085,159085,159085,155639,155639,155581,155581,155581,155581,155581,155581,1686,1686,1686,1686,1637,1637,1637,1637,1638,1638,0,0,1.0,1.0,1.0,1.0,0.9783386240060346,0.9783386240060346
47_2012-09-04_crr_3676.txt,78643,78643,78643,78643,78643,78643,78621,78621,78621,78621,77573,77573,70018,70018,69998,69998,68028,68028,55567,55567,55567,55567,7,7,0.816825424825072,0.816825424825072,0.9997143591647862,0.9997143591647862,1.0,1.0
47_2012-09-05_crr.txt,261527,261527,261527,261527,248861,248861,248754,248754,248754,248754,248754,248754,127,127,127,127,127,127,127,127,128,128,0,0,1.0,1.0,1.0,1.0,0.9515690540556042,0.9515690540556042
47_2012-09-11_crr.txt,331557,331557,331557,331557,328107,328107,328014,328014,328014,328014,327143,327143,318486,318486,317579,317579,308962,308962,250905,250905,250905,250905,12,12,0.8120901599549459,0.8120901599549459,0.9971521511149628,0.9971521511149628,0.9895945493535048,0.9895945493535048
