run_label,count_n_legal_blocks,count_len_01_norm_unicode,count_len_02_dehyphen,count_len_03_strip_summary,count_len_04_smart_join,count_len_05_cut_from_od,count_len_06_norm_orden_dia,count_len_07_strip_roster_stage,count_len_08_strip_procedural,count_len_09_postfix,count_len_10_after_legal_cut,count_len_11_final,count_ratio_after_summary,count_ratio_after_procedural,count_ratio_after_legal,sum_n_legal_blocks,sum_len_01_norm_unicode,sum_len_02_dehyphen,sum_len_03_strip_summary,sum_len_04_smart_join,sum_len_05_cut_from_od,sum_len_06_norm_orden_dia,sum_len_07_strip_roster_stage,sum_len_08_strip_procedural,sum_len_09_postfix,sum_len_10_after_legal_cut,sum_len_11_final,sum_ratio_after_summary,sum_ratio_after_procedural,sum_ratio_after_legal,mean_n_legal_blocks,mean_len_01_norm_unicode,mean_len_02_dehyphen,mean_len_03_strip_summary,mean_len_04_smart_join,mean_len_05_cut_from_od,mean_len_06_norm_orden_dia,mean_len_07_strip_roster_stage,mean_len_08_strip_procedural,mean_len_09_postfix,mean_len_10_after_legal_cut,mean_len_11_final,mean_ratio_after_summary,mean_ratio_after_procedural,mean_ratio_after_legal,median_n_legal_blocks,median_len_01_norm_unicode,median_len_02_dehyphen,median_len_03_strip_summary,median_len_04_smart_join,median_len_05_cut_from_od,median_len_06_norm_orden_dia,median_len_07_strip_roster_stage,median_len_08_strip_procedural,median_len_09_postfix,median_len_10_after_legal_cut,median_len_11_final,median_ratio_after_summary,median_ratio_after_procedural,median_ratio_after_legal
curr,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,1665,151149093,151148957,142154157,142106980,110058267,109794347,69256988,69102454,68377011,54302215,54302322,545.5044597536686,565.6550088814527,411.758633975286,2.931338028169014,266107.5580985916,266107.31866197183,250271.40316901408,250188.34507042254,193764.5545774648,193299.90669014084,121931.31690140846,121659.25,120382.06161971831,95602.4911971831,95602.67957746479,0.960395175622656,0.9958714945095998,0.7249271724917007,2.0,192856.0,192856.0,187214.5,187149.5,144117.5,144117.5,41854.0,41844.0,41723.0,17852.0,17852.0,0.9851994651912497,0.9993770602527396,0.8401082075177256
prev,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,1675,151149093,151148957,142156364,142107667,110058954,109795034,69238115,69083295,68357033,54220501,54220609,545.4928123280922,565.6422443534744,410.19782661520776,2.948943661971831,266107.5580985916,266107.31866197183,250275.28873239437,250189.5545774648,193765.76408450704,193301.1161971831,121898.0897887324,121625.51936619719,120346.88908450704,95458.62852112677,95458.81866197183,0.9603746695917117,0.9958490217490747,0.7221792722098728,2.0,192856.0,192856.0,187214.5,187149.5,144117.5,144117.5,41854.0,41844.0,41723.0,17761.0,17761.5,0.9851994651912497,0.999354501928484,0.8352187689113727
