file_name,delta_abs,delta,comparison,metric
47_2015-02-13_crr.txt,1568,-1568,curr - prev,len_03_strip_summary
48_2020-02-13_crr.txt,588,-588,curr - prev,len_03_strip_summary
47_2014-09-10_crr_5369.txt,38,-38,curr - prev,len_03_strip_summary
47_2013-05-07_crr.txt,13,-13,curr - prev,len_03_strip_summary
49_2022-05-03_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-04-06_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-05-04_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-04-05_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-03-22_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2021-12-14_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-03-09_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-03-08_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-03-01_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-02-08_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2021-12-21_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2021-12-20_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2021-12-15_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-03-15_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2021-12-09_crr.txt,0,0,curr - prev,len_03_strip_summary
49_2022-05-11_crr.txt,0,0,curr - prev,len_03_strip_summary
